Altitude (m a.s.l),Temperature (K),Pressure (Pa),Zonal wind speed (m/s),Meridional wind speed (m/s),Relative humidity (%)
62.852599439801,273.416145756578,100000,-2.88023361599152,-5.1066202699374,95.1856688000602
264.942539117146,272.111442891865,97500,-2.87004922742198,-5.05429442231429,95.2295174175037
471.347642434356,270.763049771403,95000,-2.82420333696953,-5.07293933403777,95.1124403699585
682.188375670263,269.390013694847,92500,-2.85990748225844,-5.21554627916539,95.1175811412142
897.663498929596,267.995999810396,90000,-2.89296901369241,-4.97803702671648,95.0275735989403
1118.12792432942,266.634314302125,87500,-2.81670431928343,-5.30617148214162,95.5903676841904
1343.7458033715,265.033207675888,85000,-3.41311635279036,-6.22028076253606,96.9198018673323
1574.79398094335,263.490317780891,82500,-4.73389981256366,-7.52922389097683,97.5506119910058
1811.76608282997,262.278561179284,80000,-6.87368161516673,-9.49883581059675,97.558441134712
2055.46268829485,261.621454820679,77500,-7.82680227872518,-8.70637850198906,92.3918318438238
2306.44222170011,260.778661206445,75000,-7.74058963297463,-7.33257253138295,88.2100440383241
2831.21548288611,258.361988600407,70000,-5.75037421105271,-4.43485053066823,78.6545630566046
3388.68435523524,255.223838038375,65000,-3.34728577052222,-3.10419030962238,69.8199327145547
3982.75649917253,251.574439554308,60000,-1.70772522694164,-3.3090785985618,54.1398006208462
4618.0252189735,247.08728008288,55000,-0.633276960051353,-3.00946395208008,46.3538538180986
5300.55578081938,242.124232724963,50000,0.250584281993871,-1.9773352821945,50.9075908829975
6038.96237737238,236.657605313499,45000,0.784327871704096,-0.107711367575892,58.1946702151249
6844.72733820179,230.838687164511,40000,2.5135929919942,1.83762840081467,59.3689053563277
7735.36022916942,225.013739752328,35000,3.31469713881505,3.54168978559651,65.7689804155294
8740.04989144456,221.332317176787,30000,1.88327699097904,4.5857152185474,50.9478510673619
9934.4723710684,226.519748916479,25000,1.02590934804539,6.1857476440341,4.67818700351291
10634.7304541448,227.392579694434,22500,0.700110084061566,6.470688800916,2.25691706433707
11419.2492673352,227.69151168056,20000,0.351859586861651,6.34881039478064,1.45043482495543
12309.4933524784,227.795646062243,17500,0.0721779422125785,6.30275062166202,1.14770330761065
13336.1191179566,227.099402276,15000,-0.129225458390542,5.7132569229969,1.04504241368078
14546.70882901,226.659988539755,12500,-0.792134390338574,5.39657455409372,0.909982900348375
16026.4138016394,226.873711364142,10000,-2.06488247865961,5.21679080301132,0.720646070748616
18401.8339197525,227.753094416615,7000,-4.00610211167488,4.06352720450148,0.465268118451386
20640.7213071275,226.952909082376,5000,-5.70800517222756,3.15305621938619,0.379525435894107
24033.2230402564,227.205600973316,3000,-7.18742877732214,1.91128717337137,0.229391314155347
26741.4563994565,229.202539211269,2000,-9.01504535540624,0.929499369405502,0.125487029474304
31459.1260019757,236.724319097321,1000,-12.3893086047981,-0.490921865368133,0.0287408048432723
33958.0626905698,242.176125147085,700,-12.823159623275,-0.526089337476134,0.0118372356869095
36376.121367117,249.157117619076,500,-12.352659808116,-1.03915739797601,0.00412461050312764
40198.6691315863,262.305616676502,300,-14.1787308115161,-1.48623637408943,0.000195198064935672
43365.2302215142,270.835548409927,200,-12.034840419817,-0.584792027430357,7.93284125393257e-05
48925.2182595096,273.871647851212,100,-15.6439553997753,-2.13734893998154,7.93284125393257e-05
