Altitude (m a.s.l),Temperature (K),Pressure (Pa),Zonal wind speed (m/s),Meridional wind speed (m/s),Relative humidity (%)
117.269337735155,297.622096038574,100000,-1.90589180529473,0.183446482446378,70.1851993669153
331.798762041454,296.700690899333,97500,-1.91866274790947,0.188355691386615,70.3191756828142
552.296780569031,295.784886928136,95000,-1.95073319617124,0.208454264718999,70.1593144118278
777.998971629758,294.788984474936,92500,-1.99100561095823,0.179245828513955,70.6070050940363
1009.68083562298,293.818031426633,90000,-1.9545273768592,0.152514956803884,70.4103509884038
1247.60626222496,292.790786099464,87500,-1.95832599858959,0.148765133484129,70.6413992766275
1492.01413406734,291.736630994157,85000,-1.95117116079688,0.144546696871952,71.1232521197358
1743.05183362321,290.696763396475,82500,-1.98050272686419,0.138866064561632,71.4223113708458
2001.64427130022,289.634091325047,80000,-1.95803333396784,0.125604162591529,71.0319144315483
2267.7923272107,288.57508478688,77500,-2.03158773567087,0.111230334300399,70.3680775846961
2541.84955927315,287.421297274406,75000,-2.01565040352549,0.141919404978809,70.6128843330229
3117.3395484271,285.212280726508,70000,-2.20193046474101,0.279250385356861,70.5375411424841
3733.35856092414,281.108784798787,65000,-2.87803214218961,0.627214229954704,79.5174552080099
4389.57558681146,276.881946101993,60000,-2.14380742275421,0.7961226795073,63.0119754864797
5090.51279858368,272.436553861145,55000,-1.97996639231679,-0.91104668781325,51.7835590887001
5846.44995448065,269.050395189571,50000,-1.48821520457421,-2.65413242528681,15.4548187868974
6670.53786198244,264.743408036815,45000,2.66813713937809,-3.15143350415857,4.03917809460035
7573.5610644637,259.079242460003,40000,-0.0961821173515831,-2.08871223928953,2.68219865411845
8572.83350977368,251.940767580632,35000,0.197681931703461,-9.28636439652434,3.77663802313797
9688.12869654218,242.450942689119,30000,-2.28464612695622,-7.97700823125509,6.07126952469053
10952.7635893352,231.718943468071,25000,-6.01668386805439,-1.29961851648048,26.3175177637732
11659.39480903,226.670414194918,22500,-5.14055982149554,-1.03364751774911,18.5071285219487
12430.9008375812,220.659088338427,20000,-0.463370006550419,-5.30818160151401,27.7553054527656
13278.6093863007,212.942611307105,17500,5.29429781594527,-7.15157445486541,67.8052707909551
14219.8436773975,204.544065733365,15000,1.74693057028308,-7.2592305770717,108.068947362519
15292.5609995405,198.063974083009,12500,1.54945413382667,-2.00173275950025,90.2846905300366
16557.1057239823,189.874218481967,10000,-2.25033506409231,-3.09644336519059,59.4330377924606
18551.2785347556,198.456147497522,7000,-6.31157465143403,-0.974836814095534,22.9145823026225
20546.5911530525,209.069126753484,5000,5.42448027286117,0.197123882829359,3.45832045975653
23684.8968551692,212.47069085341,3000,1.47521131769743,-0.395457955501348,1.23753987345442
26231.2469647548,215.937086135549,2000,-2.72223267089077,-4.51004681785711,0.505542336786533
30720.8275319517,227.304501990418,1000,-25.4387811551551,3.66067742542574,0.0630963113733002
33100.0214774564,228.548532213743,700,-36.3128274571232,5.53982314836086,0.0400606092810978
35378.4519216985,235.278048329619,500,-51.5319260777157,2.6158106083132,0.0147360553473419
39027.2185557438,252.307577257605,300,-59.2261984805974,7.55280530829947,0.00222568995981476
42084.9032257016,262.0956693225,200,-54.27885921482,1.05835337691729,0.000438494904457798
47520.1110880169,271.711725755572,100,-32.1133309014434,8.39581314254383,0.000438494904457798
